,stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,15,1,1,1,3,1,7,7,False
1,1,0,0,0,0,1,0,1,2,0,0,0,1,0,1,2,11,1,1,0,1,1,5,3,True
2,1,0,0,0,0,1,0,1,5,0,0,1,2,1,2,5,4,0,0,1,2,0,2,4,True
3,1,0,0,0,0,1,0,1,6,0,0,1,3,0,3,6,14,1,1,1,3,0,7,6,True
4,0,0,0,0,0,0,0,0,9,1,1,0,0,1,4,1,7,0,0,1,3,1,3,7,False
5,1,0,0,0,0,1,0,1,11,1,1,0,1,1,5,3,11,1,1,0,1,1,5,3,True
6,1,0,0,0,0,1,0,1,13,1,1,1,2,1,6,5,12,1,1,1,2,0,6,4,True
7,1,0,0,0,0,1,0,1,14,1,1,1,3,0,7,6,9,1,1,0,0,1,4,1,False
8,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,8,1,1,0,0,0,4,0,True
9,3,0,0,0,1,1,1,3,3,0,0,0,1,1,1,3,12,1,1,1,2,0,6,4,False
10,3,0,0,0,1,1,1,3,5,0,0,1,2,1,2,5,10,1,1,0,1,0,5,2,False
11,2,0,0,0,1,0,1,2,7,0,0,1,3,1,3,7,12,1,1,1,2,0,6,4,False
12,3,0,0,0,1,1,1,3,8,1,1,0,0,0,4,0,9,1,1,0,0,1,4,1,True
13,2,0,0,0,1,0,1,2,11,1,1,0,1,1,5,3,15,1,1,1,3,1,7,7,False
14,3,0,0,0,1,1,1,3,12,1,1,1,2,0,6,4,12,1,1,1,2,0,6,4,True
15,2,0,0,0,1,0,1,2,15,1,1,1,3,1,7,7,6,0,0,1,3,0,3,6,True
16,4,0,0,1,2,0,2,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,True
17,5,0,0,1,2,1,2,5,2,0,0,0,1,0,1,2,10,1,1,0,1,0,5,2,True
18,4,0,0,1,2,0,2,4,4,0,0,1,2,0,2,4,4,0,0,1,2,0,2,4,True
19,5,0,0,1,2,1,2,5,7,0,0,1,3,1,3,7,4,0,0,1,2,0,2,4,False
20,4,0,0,1,2,0,2,4,9,1,1,0,0,1,4,1,9,1,1,0,0,1,4,1,True
21,4,0,0,1,2,0,2,4,11,1,1,0,1,1,5,3,0,0,0,0,0,0,0,0,False
22,4,0,0,1,2,0,2,4,13,1,1,1,2,1,6,5,13,1,1,1,2,1,6,5,True
23,4,0,0,1,2,0,2,4,15,1,1,1,3,1,7,7,7,0,0,1,3,1,3,7,True
24,6,0,0,1,3,0,3,6,1,0,0,0,0,1,0,1,14,1,1,1,3,0,7,6,False
25,6,0,0,1,3,0,3,6,3,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,False
26,6,0,0,1,3,0,3,6,5,0,0,1,2,1,2,5,11,1,1,0,1,1,5,3,False
27,6,0,0,1,3,0,3,6,7,0,0,1,3,1,3,7,14,1,1,1,3,0,7,6,True
28,7,0,0,1,3,1,3,7,9,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,True
29,7,0,0,1,3,1,3,7,10,1,1,0,1,0,5,2,5,0,0,1,2,1,2,5,False
30,6,0,0,1,3,0,3,6,13,1,1,1,2,1,6,5,13,1,1,1,2,1,6,5,True
31,6,0,0,1,3,0,3,6,15,1,1,1,3,1,7,7,14,1,1,1,3,0,7,6,True
32,9,1,1,0,0,1,4,1,1,0,0,0,0,1,0,1,2,0,0,0,1,0,1,2,False
33,8,1,1,0,0,0,4,0,2,0,0,0,1,0,1,2,9,1,1,0,0,1,4,1,False
34,9,1,1,0,0,1,4,1,4,0,0,1,2,0,2,4,12,1,1,1,2,0,6,4,True
35,8,1,1,0,0,0,4,0,7,0,0,1,3,1,3,7,6,0,0,1,3,0,3,6,True
36,9,1,1,0,0,1,4,1,9,1,1,0,0,1,4,1,5,0,0,1,2,1,2,5,False
37,9,1,1,0,0,1,4,1,11,1,1,0,1,1,5,3,6,0,0,1,3,0,3,6,False
38,8,1,1,0,0,0,4,0,13,1,1,1,2,1,6,5,14,1,1,1,3,0,7,6,False
39,9,1,1,0,0,1,4,1,14,1,1,1,3,0,7,6,15,1,1,1,3,1,7,7,True
40,10,1,1,0,1,0,5,2,1,0,0,0,0,1,0,1,8,1,1,0,0,0,4,0,True
41,10,1,1,0,1,0,5,2,2,0,0,0,1,0,1,2,9,1,1,0,0,1,4,1,False
42,11,1,1,0,1,1,5,3,5,0,0,1,2,1,2,5,0,0,0,0,0,0,0,0,False
43,10,1,1,0,1,0,5,2,7,0,0,1,3,1,3,7,15,1,1,1,3,1,7,7,True
44,11,1,1,0,1,1,5,3,8,1,1,0,0,0,4,0,8,1,1,0,0,0,4,0,True
45,10,1,1,0,1,0,5,2,11,1,1,0,1,1,5,3,4,0,0,1,2,0,2,4,False
46,11,1,1,0,1,1,5,3,12,1,1,1,2,0,6,4,8,1,1,0,0,0,4,0,False
47,11,1,1,0,1,1,5,3,15,1,1,1,3,1,7,7,14,1,1,1,3,0,7,6,True
48,12,1,1,1,2,0,6,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,True
49,12,1,1,1,2,0,6,4,2,0,0,0,1,0,1,2,12,1,1,1,2,0,6,4,False
50,12,1,1,1,2,0,6,4,4,0,0,1,2,0,2,4,5,0,0,1,2,1,2,5,True
51,13,1,1,1,2,1,6,5,7,0,0,1,3,1,3,7,7,0,0,1,3,1,3,7,True
52,12,1,1,1,2,0,6,4,8,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,True
53,12,1,1,1,2,0,6,4,10,1,1,0,1,0,5,2,0,0,0,0,0,0,0,0,False
54,13,1,1,1,2,1,6,5,12,1,1,1,2,0,6,4,2,0,0,0,1,0,1,2,False
55,12,1,1,1,2,0,6,4,14,1,1,1,3,0,7,6,12,1,1,1,2,0,6,4,False
56,15,1,1,1,3,1,7,7,1,0,0,0,0,1,0,1,4,0,0,1,2,0,2,4,False
57,14,1,1,1,3,0,7,6,2,0,0,0,1,0,1,2,11,1,1,0,1,1,5,3,True
58,14,1,1,1,3,0,7,6,4,0,0,1,2,0,2,4,4,0,0,1,2,0,2,4,True
59,15,1,1,1,3,1,7,7,6,0,0,1,3,0,3,6,7,0,0,1,3,1,3,7,True
60,14,1,1,1,3,0,7,6,9,1,1,0,0,1,4,1,14,1,1,1,3,0,7,6,False
61,14,1,1,1,3,0,7,6,10,1,1,0,1,0,5,2,0,0,0,0,0,0,0,0,False
62,14,1,1,1,3,0,7,6,13,1,1,1,2,1,6,5,3,0,0,0,1,1,1,3,False
63,14,1,1,1,3,0,7,6,15,1,1,1,3,1,7,7,13,1,1,1,2,1,6,5,False
64,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,11,1,1,0,1,1,5,3,False
65,1,0,0,0,0,1,0,1,2,0,0,0,1,0,1,2,8,1,1,0,0,0,4,0,False
66,1,0,0,0,0,1,0,1,5,0,0,1,2,1,2,5,0,0,0,0,0,0,0,0,False
67,1,0,0,0,0,1,0,1,7,0,0,1,3,1,3,7,12,1,1,1,2,0,6,4,False
68,0,0,0,0,0,0,0,0,9,1,1,0,0,1,4,1,11,1,1,0,1,1,5,3,False
69,0,0,0,0,0,0,0,0,10,1,1,0,1,0,5,2,14,1,1,1,3,0,7,6,False
70,1,0,0,0,0,1,0,1,13,1,1,1,2,1,6,5,15,1,1,1,3,1,7,7,False
