,stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,15,3,1,1,1,7,7,9,0,1,1,0,4,1,False,True
1,9,0,1,1,0,4,1,14,3,1,0,1,7,6,2,1,0,0,0,1,2,11,1,1,1,0,5,3,False,True
2,10,1,1,0,0,5,2,1,0,0,1,0,0,1,9,0,1,1,0,4,1,3,1,0,1,0,1,3,True,True
3,6,3,0,0,1,3,6,7,3,0,1,1,3,7,1,0,0,1,0,0,1,12,2,1,0,1,6,4,False,True
4,14,3,1,0,1,7,6,12,2,1,0,1,6,4,7,3,0,1,1,3,7,2,1,0,0,0,1,2,True,False
5,12,2,1,0,1,6,4,10,1,1,0,0,5,2,3,1,0,1,0,1,3,7,3,0,1,1,3,7,True,True
6,13,2,1,1,1,6,5,0,0,0,0,0,0,0,12,2,1,0,1,6,4,9,0,1,1,0,4,1,False,False
7,5,2,0,1,1,2,5,6,3,0,0,1,3,6,12,2,1,0,1,6,4,10,1,1,0,0,5,2,True,False
8,0,0,0,0,0,0,0,13,2,1,1,1,6,5,9,0,1,1,0,4,1,12,2,1,0,1,6,4,False,False
9,6,3,0,0,1,3,6,5,2,0,1,1,2,5,5,2,0,1,1,2,5,15,3,1,1,1,7,7,True,True
10,2,1,0,0,0,1,2,3,1,0,1,0,1,3,6,3,0,0,1,3,6,8,0,1,0,0,4,0,False,True
11,3,1,0,1,0,1,3,10,1,1,0,0,5,2,4,2,0,0,1,2,4,6,3,0,0,1,3,6,False,False
12,5,2,0,1,1,2,5,6,3,0,0,1,3,6,15,3,1,1,1,7,7,5,2,0,1,1,2,5,True,True
