,stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,3,True
1,1,0,0,0,0,1,0,1,3,0,0,0,1,1,1,3,6,0,0,1,3,0,3,6,False
2,1,0,0,0,0,1,0,1,4,0,0,1,2,0,2,4,0,0,0,0,0,0,0,0,False
3,1,0,0,0,0,1,0,1,6,0,0,1,3,0,3,6,10,1,1,0,1,0,5,2,False
4,1,0,0,0,0,1,0,1,9,1,1,0,0,1,4,1,2,0,0,0,1,0,1,2,True
5,0,0,0,0,0,0,0,0,11,1,1,0,1,1,5,3,6,0,0,1,3,0,3,6,False
6,0,0,0,0,0,0,0,0,13,1,1,1,2,1,6,5,4,0,0,1,2,0,2,4,True
7,1,0,0,0,0,1,0,1,15,1,1,1,3,1,7,7,4,0,0,1,2,0,2,4,True
8,2,0,0,0,1,0,1,2,1,0,0,0,0,1,0,1,9,1,1,0,0,1,4,1,True
9,3,0,0,0,1,1,1,3,2,0,0,0,1,0,1,2,6,0,0,1,3,0,3,6,False
10,3,0,0,0,1,1,1,3,4,0,0,1,2,0,2,4,4,0,0,1,2,0,2,4,True
11,3,0,0,0,1,1,1,3,6,0,0,1,3,0,3,6,5,0,0,1,2,1,2,5,True
12,3,0,0,0,1,1,1,3,9,1,1,0,0,1,4,1,7,0,0,1,3,1,3,7,False
13,3,0,0,0,1,1,1,3,11,1,1,0,1,1,5,3,3,0,0,0,1,1,1,3,True
14,3,0,0,0,1,1,1,3,13,1,1,1,2,1,6,5,7,0,0,1,3,1,3,7,True
15,2,0,0,0,1,0,1,2,15,1,1,1,3,1,7,7,11,1,1,0,1,1,5,3,False
16,4,0,0,1,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
17,5,0,0,1,2,1,2,5,3,0,0,0,1,1,1,3,10,1,1,0,1,0,5,2,True
18,4,0,0,1,2,0,2,4,4,0,0,1,2,0,2,4,12,1,1,1,2,0,6,4,True
19,5,0,0,1,2,1,2,5,7,0,0,1,3,1,3,7,2,0,0,0,1,0,1,2,False
20,4,0,0,1,2,0,2,4,9,1,1,0,0,1,4,1,14,1,1,1,3,0,7,6,False
21,5,0,0,1,2,1,2,5,10,1,1,0,1,0,5,2,4,0,0,1,2,0,2,4,False
22,5,0,0,1,2,1,2,5,12,1,1,1,2,0,6,4,11,1,1,0,1,1,5,3,False
23,4,0,0,1,2,0,2,4,14,1,1,1,3,0,7,6,8,1,1,0,0,0,4,0,False
24,6,0,0,1,3,0,3,6,1,0,0,0,0,1,0,1,14,1,1,1,3,0,7,6,False
25,7,0,0,1,3,1,3,7,3,0,0,0,1,1,1,3,9,1,1,0,0,1,4,1,True
26,7,0,0,1,3,1,3,7,5,0,0,1,2,1,2,5,6,0,0,1,3,0,3,6,True
