,stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
0,13,2,1,1,1,6,5,6,3,0,0,1,3,6,5,2,0,1,1,2,5,9,0,1,1,0,4,1,True,True
1,15,3,1,1,1,7,7,0,0,0,0,0,0,0,11,1,1,1,0,5,3,5,2,0,1,1,2,5,False,False
2,1,0,0,1,0,0,1,5,2,0,1,1,2,5,7,3,0,1,1,3,7,1,0,0,1,0,0,1,True,True
3,10,1,1,0,0,5,2,8,0,1,0,0,4,0,14,3,1,0,1,7,6,9,0,1,1,0,4,1,True,True
4,0,0,0,0,0,0,0,3,1,0,1,0,1,3,13,2,1,1,1,6,5,11,1,1,1,0,5,3,False,False
5,8,0,1,0,0,4,0,14,3,1,0,1,7,6,8,0,1,0,0,4,0,9,0,1,1,0,4,1,True,True
6,5,2,0,1,1,2,5,12,2,1,0,1,6,4,4,2,0,0,1,2,4,1,0,0,1,0,0,1,False,True
7,3,1,0,1,0,1,3,5,2,0,1,1,2,5,10,1,1,0,0,5,2,9,0,1,1,0,4,1,False,False
8,7,3,0,1,1,3,7,5,2,0,1,1,2,5,2,1,0,0,0,1,2,2,1,0,0,0,1,2,True,True
9,15,3,1,1,1,7,7,15,3,1,1,1,7,7,5,2,0,1,1,2,5,10,1,1,0,0,5,2,False,True
10,14,3,1,0,1,7,6,12,2,1,0,1,6,4,2,1,0,0,0,1,2,1,0,0,1,0,0,1,False,False
11,2,1,0,0,0,1,2,6,3,0,0,1,3,6,13,2,1,1,1,6,5,2,1,0,0,0,1,2,False,True
12,11,1,1,1,0,5,3,5,2,0,1,1,2,5,13,2,1,1,1,6,5,1,0,0,1,0,0,1,False,False
13,3,1,0,1,0,1,3,9,0,1,1,0,4,1,13,2,1,1,1,6,5,11,1,1,1,0,5,3,True,False
14,9,0,1,1,0,4,1,14,3,1,0,1,7,6,1,0,0,1,0,0,1,5,2,0,1,1,2,5,False,False
15,12,2,1,0,1,6,4,8,0,1,0,0,4,0,3,1,0,1,0,1,3,4,2,0,0,1,2,4,False,False
16,1,0,0,1,0,0,1,1,0,0,1,0,0,1,2,1,0,0,0,1,2,7,3,0,1,1,3,7,True,True
17,5,2,0,1,1,2,5,11,1,1,1,0,5,3,5,2,0,1,1,2,5,2,1,0,0,0,1,2,False,True
18,12,2,1,0,1,6,4,9,0,1,1,0,4,1,6,3,0,0,1,3,6,2,1,0,0,0,1,2,False,False
19,2,1,0,0,0,1,2,6,3,0,0,1,3,6,15,3,1,1,1,7,7,1,0,0,1,0,0,1,False,True
20,0,0,0,0,0,0,0,14,3,1,0,1,7,6,7,3,0,1,1,3,7,13,2,1,1,1,6,5,False,False
21,8,0,1,0,0,4,0,2,1,0,0,0,1,2,14,3,1,0,1,7,6,3,1,0,1,0,1,3,False,False
22,0,0,0,0,0,0,0,15,3,1,1,1,7,7,15,3,1,1,1,7,7,9,0,1,1,0,4,1,True,False
23,10,1,1,0,0,5,2,13,2,1,1,1,6,5,9,0,1,1,0,4,1,15,3,1,1,1,7,7,True,True
24,5,2,0,1,1,2,5,11,1,1,1,0,5,3,1,0,0,1,0,0,1,7,3,0,1,1,3,7,False,True
25,12,2,1,0,1,6,4,4,2,0,0,1,2,4,4,2,0,0,1,2,4,12,2,1,0,1,6,4,True,True
26,11,1,1,1,0,5,3,0,0,0,0,0,0,0,13,2,1,1,1,6,5,2,1,0,0,0,1,2,False,False
27,13,2,1,1,1,6,5,12,2,1,0,1,6,4,6,3,0,0,1,3,6,15,3,1,1,1,7,7,False,True
28,6,3,0,0,1,3,6,6,3,0,0,1,3,6,0,0,0,0,0,0,0,15,3,1,1,1,7,7,True,False
29,6,3,0,0,1,3,6,1,0,0,1,0,0,1,1,0,0,1,0,0,1,13,2,1,1,1,6,5,True,False
30,14,3,1,0,1,7,6,14,3,1,0,1,7,6,3,1,0,1,0,1,3,7,3,0,1,1,3,7,False,False
31,14,3,1,0,1,7,6,10,1,1,0,0,5,2,9,0,1,1,0,4,1,8,0,1,0,0,4,0,True,True
32,2,1,0,0,0,1,2,7,3,0,1,1,3,7,9,0,1,1,0,4,1,14,3,1,0,1,7,6,False,False
33,6,3,0,0,1,3,6,10,1,1,0,0,5,2,11,1,1,1,0,5,3,7,3,0,1,1,3,7,True,True
34,6,3,0,0,1,3,6,5,2,0,1,1,2,5,9,0,1,1,0,4,1,5,2,0,1,1,2,5,False,True
35,6,3,0,0,1,3,6,7,3,0,1,1,3,7,2,1,0,0,0,1,2,0,0,0,0,0,0,0,True,True
36,10,1,1,0,0,5,2,10,1,1,0,0,5,2,15,3,1,1,1,7,7,13,2,1,1,1,6,5,True,True
37,3,1,0,1,0,1,3,2,1,0,0,0,1,2,1,0,0,1,0,0,1,6,3,0,0,1,3,6,True,True
38,9,0,1,1,0,4,1,3,1,0,1,0,1,3,9,0,1,1,0,4,1,0,0,0,0,0,0,0,False,False
39,14,3,1,0,1,7,6,15,3,1,1,1,7,7,10,1,1,0,0,5,2,3,1,0,1,0,1,3,True,False
40,10,1,1,0,0,5,2,12,2,1,0,1,6,4,12,2,1,0,1,6,4,11,1,1,1,0,5,3,True,True
41,9,0,1,1,0,4,1,11,1,1,1,0,5,3,2,1,0,0,0,1,2,10,1,1,0,0,5,2,False,True
42,7,3,0,1,1,3,7,13,2,1,1,1,6,5,10,1,1,0,0,5,2,10,1,1,0,0,5,2,True,False
43,10,1,1,0,0,5,2,5,2,0,1,1,2,5,14,3,1,0,1,7,6,7,3,0,1,1,3,7,False,False
44,13,2,1,1,1,6,5,5,2,0,1,1,2,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,True,False
45,1,0,0,1,0,0,1,2,1,0,0,0,1,2,2,1,0,0,0,1,2,2,1,0,0,0,1,2,True,True
46,5,2,0,1,1,2,5,13,2,1,1,1,6,5,0,0,0,0,0,0,0,10,1,1,0,0,5,2,False,False
47,1,0,0,1,0,0,1,3,1,0,1,0,1,3,5,2,0,1,1,2,5,5,2,0,1,1,2,5,True,True
