,stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
1,1,0,0,1,0,0,1,4,2,0,0,1,2,4,0,0,0,0,0,0,0,10,1,1,0,0,5,2,False,False
2,2,1,0,0,0,1,2,4,2,0,0,1,2,4,6,3,0,0,1,3,6,2,1,0,0,0,1,2,False,True
3,15,3,1,1,1,7,7,10,1,1,0,0,5,2,14,3,1,0,1,7,6,4,2,0,0,1,2,4,False,False
4,6,3,0,0,1,3,6,6,3,0,0,1,3,6,0,0,0,0,0,0,0,3,1,0,1,0,1,3,False,False
5,4,2,0,0,1,2,4,11,1,1,1,0,5,3,0,0,0,0,0,0,0,6,3,0,0,1,3,6,False,False
6,4,2,0,0,1,2,4,6,3,0,0,1,3,6,3,1,0,1,0,1,3,0,0,0,0,0,0,0,False,False
7,5,2,0,1,1,2,5,5,2,0,1,1,2,5,11,1,1,1,0,5,3,11,1,1,1,0,5,3,False,False
8,9,0,1,1,0,4,1,15,3,1,1,1,7,7,4,2,0,0,1,2,4,5,2,0,1,1,2,5,False,False
9,14,3,1,0,1,7,6,1,0,0,1,0,0,1,10,1,1,0,0,5,2,7,3,0,1,1,3,7,False,True
10,11,1,1,1,0,5,3,2,1,0,0,0,1,2,2,1,0,0,0,1,2,0,0,0,0,0,0,0,True,False
11,10,1,1,0,0,5,2,11,1,1,1,0,5,3,4,2,0,0,1,2,4,14,3,1,0,1,7,6,False,False
12,5,2,0,1,1,2,5,0,0,0,0,0,0,0,7,3,0,1,1,3,7,5,2,0,1,1,2,5,False,True
13,6,3,0,0,1,3,6,14,3,1,0,1,7,6,7,3,0,1,1,3,7,0,0,0,0,0,0,0,True,False
14,0,0,0,0,0,0,0,9,0,1,1,0,4,1,5,2,0,1,1,2,5,7,3,0,1,1,3,7,False,False
15,11,1,1,1,0,5,3,5,2,0,1,1,2,5,5,2,0,1,1,2,5,4,2,0,0,1,2,4,True,False
16,1,0,0,1,0,0,1,11,1,1,1,0,5,3,14,3,1,0,1,7,6,9,0,1,1,0,4,1,False,True
17,8,0,1,0,0,4,0,15,3,1,1,1,7,7,7,3,0,1,1,3,7,10,1,1,0,0,5,2,True,False
18,10,1,1,0,0,5,2,15,3,1,1,1,7,7,8,0,1,0,0,4,0,2,1,0,0,0,1,2,False,True
19,6,3,0,0,1,3,6,13,2,1,1,1,6,5,8,0,1,0,0,4,0,4,2,0,0,1,2,4,False,False
20,15,3,1,1,1,7,7,10,1,1,0,0,5,2,2,1,0,0,0,1,2,2,1,0,0,0,1,2,True,False
21,12,2,1,0,1,6,4,1,0,0,1,0,0,1,15,3,1,1,1,7,7,6,3,0,0,1,3,6,False,False
22,13,2,1,1,1,6,5,8,0,1,0,0,4,0,10,1,1,0,0,5,2,8,0,1,0,0,4,0,False,False
23,5,2,0,1,1,2,5,5,2,0,1,1,2,5,13,2,1,1,1,6,5,10,1,1,0,0,5,2,True,False
24,9,0,1,1,0,4,1,11,1,1,1,0,5,3,0,0,0,0,0,0,0,13,2,1,1,1,6,5,False,False
25,15,3,1,1,1,7,7,12,2,1,0,1,6,4,6,3,0,0,1,3,6,7,3,0,1,1,3,7,False,True
26,11,1,1,1,0,5,3,6,3,0,0,1,3,6,4,2,0,0,1,2,4,0,0,0,0,0,0,0,False,False
27,11,1,1,1,0,5,3,9,0,1,1,0,4,1,13,2,1,1,1,6,5,14,3,1,0,1,7,6,False,False
