,stim1,loc1,objmod1,stim2,loc2,objmod2,stim3,loc3,objmod3,stim4,loc4,objmod4,action1,action2
0,0,0,4,0,0,0,2,0,2,4,1,0,False,True
1,0,0,4,1,0,5,0,0,0,5,1,1,True,True
2,0,0,4,2,0,2,1,0,5,0,0,0,False,False
3,0,0,4,3,0,7,0,0,0,7,1,3,True,True
4,0,0,4,4,1,0,0,0,4,0,0,4,True,True
5,0,0,0,5,1,1,2,0,6,1,0,1,False,True
6,0,0,4,6,1,2,0,0,4,6,1,6,True,True
7,0,0,0,7,1,3,7,1,7,3,0,7,False,True
8,1,0,1,0,0,0,5,1,1,5,1,5,True,False
9,1,0,5,1,0,5,5,1,1,1,0,1,True,True
10,1,0,5,2,0,2,4,1,0,2,0,2,False,True
11,1,0,5,3,0,7,2,0,2,7,1,7,False,True
12,1,0,1,4,1,0,4,1,0,6,1,2,False,False
13,1,0,5,5,1,5,5,1,1,4,1,0,True,False
14,1,0,5,6,1,6,0,0,4,3,0,7,False,False
15,1,0,5,7,1,3,6,1,2,3,0,3,False,True
16,2,0,2,0,0,4,2,0,2,7,1,3,True,False
17,2,0,6,1,0,5,3,0,7,5,1,1,False,True
18,2,0,6,2,0,2,2,0,6,5,1,5,True,False
19,2,0,6,3,0,7,6,1,6,3,0,7,True,True
20,2,0,6,4,1,4,6,1,2,4,1,0,True,True
21,2,0,6,5,1,1,6,1,6,1,0,1,True,True
22,2,0,2,6,1,2,2,0,2,6,1,2,True,True
23,2,0,6,7,1,7,1,0,1,2,0,6,False,False
24,3,0,3,0,0,0,0,0,4,7,1,3,False,False
25,3,0,3,1,0,1,7,1,3,7,1,3,True,False
26,3,0,3,2,0,6,4,1,0,3,0,7,False,False
27,3,0,7,3,0,3,3,0,7,7,1,7,True,True
28,3,0,7,4,1,4,3,0,7,0,0,0,True,True
29,3,0,3,5,1,1,1,0,1,5,1,1,False,True
30,3,0,3,6,1,2,3,0,7,6,1,2,True,True
31,3,0,7,7,1,3,6,1,2,4,1,0,False,False
32,4,1,0,0,0,0,4,1,0,0,0,4,True,True
33,4,1,4,1,0,1,6,1,6,0,0,4,False,False
34,4,1,0,2,0,2,0,0,4,1,0,5,True,False
35,4,1,0,3,0,7,0,0,0,7,1,3,True,True
36,4,1,0,4,1,0,1,0,5,6,1,6,False,False
37,4,1,0,5,1,1,1,0,5,1,0,1,False,True
38,4,1,4,6,1,2,7,1,7,6,1,6,False,True
39,4,1,4,7,1,3,7,1,7,4,1,4,False,False
40,5,1,1,0,0,0,5,1,5,0,0,0,True,True
41,5,1,1,1,0,5,5,1,1,1,0,1,True,True
42,5,1,1,2,0,6,1,0,5,2,0,6,True,True
43,5,1,5,3,0,3,5,1,5,7,1,3,True,True
44,5,1,5,4,1,4,1,0,1,5,1,5,True,False
45,5,1,5,5,1,5,1,0,5,4,1,4,True,False
46,5,1,5,6,1,2,1,0,5,2,0,6,True,True
47,5,1,1,7,1,7,1,0,5,3,0,7,True,True
48,6,1,2,0,0,0,2,0,2,3,0,7,True,False
49,6,1,6,1,0,1,2,0,6,3,0,7,True,False
50,6,1,6,2,0,6,6,1,6,6,1,6,True,True
51,6,1,6,3,0,7,2,0,2,7,1,3,True,True
52,6,1,2,4,1,4,6,1,2,0,0,4,True,True
53,6,1,2,5,1,5,0,0,0,5,1,5,False,True
54,6,1,6,6,1,2,1,0,1,6,1,6,False,True
55,6,1,6,7,1,7,0,0,0,3,0,7,False,True
56,7,1,7,0,0,4,3,0,7,4,1,4,True,True
57,7,1,3,1,0,1,1,0,5,5,1,1,False,True
58,7,1,7,2,0,6,3,0,7,6,1,6,True,True
59,7,1,7,3,0,3,7,1,3,7,1,7,True,True
60,7,1,3,4,1,4,7,1,3,0,0,0,True,True
61,7,1,7,5,1,1,3,0,3,3,0,7,True,False
62,7,1,3,6,1,2,5,1,1,5,1,5,False,False
63,7,1,3,7,1,7,3,0,3,3,0,7,True,True
