word	format	onset	duration
+		0.0	14.0
+		14.0	0.1
HU		14.1	0.45
GOVES		14.55	0.45
BRUDIT		15.0	0.45
FOM		15.45	0.45
REE		15.9	0.45
STOCOTION		16.35	0.45
RO		16.8	0.45
HUS		17.25	0.45
NER		17.7	0.45
OUTLEOF		18.15	0.45
OD		18.6	0.45
LIRR		19.05	0.45
:		19.5	0.5
+		20.0	0.1
NIED		20.1	0.45
FOM		20.55	0.45
NEVESRY		21.0	0.45
MAK		21.45	0.45
NE		21.9	0.45
O		22.35	0.45
SYMELOM		22.8	0.45
OY		23.25	0.45
CEDDUROL		23.7	0.45
FOTOLMS		24.15	0.45
OSE		24.6	0.45
INCRECORITY		25.05	0.45
:		25.5	0.5
+		26.0	0.1
HU		26.1	0.45
SUT		26.55	0.45
UD		27.0	0.45
OSE		27.45	0.45
WONCHED		27.9	0.45
AR		28.35	0.45
QUEY		28.8	0.45
PUBBED		29.25	0.45
THULPELVES		29.7	0.45
IBER		30.15	0.45
REE		30.6	0.45
STURN		31.05	0.45
:		31.5	0.5
+		32.0	0.1
THEY		32.1	0.45
ARE		32.55	0.45
PUTTING		33.0	0.45
STRONG		33.45	0.45
PRESSURE		33.9	0.45
ON		34.35	0.45
THEIR		34.8	0.45
POLICE		35.25	0.45
DEPARTMENTS		35.7	0.45
TO		36.15	0.45
KEEP		36.6	0.45
ORDER		37.05	0.45
:		37.5	0.5
+		38.0	0.1
SENATOR		38.1	0.45
HUBERT		38.55	0.45
HUMPHREY		39.0	0.45
IS		39.45	0.45
OBVIOUSLY		39.9	0.45
A		40.35	0.45
MAN		40.8	0.45
WITH		41.25	0.45
A		41.7	0.45
SOUL		42.15	0.45
AND		42.6	0.45
HEART		43.05	0.45
:		43.5	0.5
+		44.0	0.1
I		44.1	0.45
FOLLOWED		44.55	0.45
THEM		45.0	0.45
IN		45.45	0.45
THE		45.9	0.45
JEEP		46.35	0.45
AND		46.8	0.45
NOW		47.25	0.45
THEY		47.7	0.45
DID		48.15	0.45
NOT		48.6	0.45
CARE		49.05	0.45
:		49.5	0.5
+		50.0	0.1
SOMETIMES		50.1	0.45
I		50.55	0.45
GUESSED		51.0	0.45
IT		51.45	0.45
WAS		51.9	0.45
BECAUSE		52.35	0.45
THE		52.8	0.45
RAIN		53.25	0.45
SQUALL		53.7	0.45
HAD		54.15	0.45
CHANGED		54.6	0.45
DIRECTION		55.05	0.45
:		55.5	0.5
+		56.0	0.1
THIS		56.1	0.45
MATERIAL		56.55	0.45
FLUORESCES		57.0	0.45
UNDER		57.45	0.45
ULTRAVIOLET		57.9	0.45
LIGHT		58.35	0.45
WHICH		58.8	0.45
FACILITATES		59.25	0.45
ITS		59.7	0.45
SAMPLING		60.15	0.45
AND		60.6	0.45
ASSESSMENT		61.05	0.45
:		61.5	0.5
+		62.0	0.1
HE		62.1	0.45
IS		62.55	0.45
BETTER		63.0	0.45
FITTED		63.45	0.45
TO		63.9	0.45
PERFORM		64.35	0.45
HIS		64.8	0.45
SOCIAL		65.25	0.45
LIFE		65.7	0.45
AMONG		66.15	0.45
HIS		66.6	0.45
FELLOWS		67.05	0.45
:		67.5	0.5
+		68.0	0.1
HU		68.1	0.45
LELD		68.55	0.45
REE		69.0	0.45
RERE		69.45	0.45
OY		69.9	0.45
HUS		70.35	0.45
SNINGS		70.8	0.45
OSE		71.25	0.45
LEFORNED		71.7	0.45
RO		72.15	0.45
REE		72.6	0.45
LOMPY		73.05	0.45
:		73.5	0.5
+		74.0	0.1
SHONESE		74.1	0.45
OSE		74.55	0.45
ENCIOD		75.0	0.45
MERSHOCKS		75.45	0.45
OTHISS		75.9	0.45
REE		76.35	0.45
STREOP		76.8	0.45
DERE		77.25	0.45
SLOSSING		77.7	0.45
FREIR		78.15	0.45
STOUL		78.6	0.45
CHOTTERS		79.05	0.45
:		79.5	0.5
+		80.0	0.1
O		80.1	0.45
CORGLE		80.55	0.45
OTIVES		81.0	0.45
EN		81.45	0.45
REE		81.9	0.45
ORF		82.35	0.45
DIRIDES		82.8	0.45
OTS		83.25	0.45
FLOPE		83.7	0.45
OSE		84.15	0.45
SMOLE		84.6	0.45
UGWONDS		85.05	0.45
:		85.5	0.5
+		86.0	14.0
+		100.0	0.1
FROM		100.1	0.45
