word	format	onset	duration
+		0.0	14.0
+		14.0	0.1
SOTH		14.1	0.45
OY		14.55	0.45
REE		15.0	0.45
ESBONT		15.45	0.45
OS		15.9	0.45
SIND		16.35	0.45
OSE		16.8	0.45
OS		17.25	0.45
VOT		17.7	0.45
POODOBLE		18.15	0.45
FOM		18.6	0.45
FIDING		19.05	0.45
:		19.5	0.5
+		20.0	0.1
KNORNEPTS		20.1	0.45
GOWLED		20.55	0.45
TROR		21.0	0.45
CHOVYING		21.45	0.45
EERSHQUORT		21.9	0.45
WORED		22.35	0.45
HOR		22.8	0.45
BOUN		23.25	0.45
ODSTIED		23.7	0.45
EN		24.15	0.45
NONIOUS		24.6	0.45
FIECED		25.05	0.45
:		25.5	0.5
+		26.0	0.1
E		26.1	0.45
SNINK		26.55	0.45
HOO		27.0	0.45
ONK		27.45	0.45
COING		27.9	0.45
UNFOBS		28.35	0.45
RO		28.8	0.45
TADE		29.25	0.45
BLESE		29.7	0.45
SNINGS		30.15	0.45
UD		30.6	0.45
NOY		31.05	0.45
:		31.5	0.5
+		32.0	0.1
COPIES		32.1	0.45
OF		32.55	0.45
THIS		33.0	0.45
LETTER		33.45	0.45
WERE		33.9	0.45
MADE		34.35	0.45
AVALIABLE		34.8	0.45
TO		35.25	0.45
THE		35.7	0.45
PRESS		36.15	0.45
AND		36.6	0.45
PUBLIC		37.05	0.45
:		37.5	0.5
+		38.0	0.1
NEW		38.1	0.45
IDEAS		38.55	0.45
FOR		39.0	0.45
IMPROVING		39.45	0.45
NUTRITION		39.9	0.45
CAME		40.35	0.45
WITH		40.8	0.45
THE		41.25	0.45
STUDY		41.7	0.45
OF		42.15	0.45
SOIL		42.6	0.45
TREATMENT		43.05	0.45
:		43.5	0.5
+		44.0	0.1
THEY		44.1	0.45
ARE		44.55	0.45
TRYING		45.0	0.45
TO		45.45	0.45
DEMONSTRATE		45.9	0.45
SOME		46.35	0.45
DIFFERENT		46.8	0.45
WAYS		47.25	0.45
OF		47.7	0.45
TEACHING		48.15	0.45
AND		48.6	0.45
LEARNING		49.05	0.45
:		49.5	0.5
+		50.0	0.1
I		50.1	0.45
WANTED		50.55	0.45
TO		51.0	0.45
HELP		51.45	0.45
SO		51.9	0.45
THAT		52.35	0.45
WE		52.8	0.45
COULD		53.25	0.45
FIND		53.7	0.45
TIME		54.15	0.45
TO		54.6	0.45
PLAY		55.05	0.45
:		55.5	0.5
+		56.0	0.1
THEY		56.1	0.45
ARE		56.55	0.45
THE		57.0	0.45
MOST		57.45	0.45
BEAUTIFUL		57.9	0.45
PART		58.35	0.45
OF		58.8	0.45
THAT		59.25	0.45
LITTLE		59.7	0.45
PIECE		60.15	0.45
OF		60.6	0.45
NATURE		61.05	0.45
:		61.5	0.5
+		62.0	0.1
HE		62.1	0.45
WANTED		62.55	0.45
TO		63.0	0.45
GO		63.45	0.45
BACK		63.9	0.45
TO		64.35	0.45
HARVARD		64.8	0.45
FOR		65.25	0.45
ANOTHER		65.7	0.45
YEAR		66.15	0.45
OF		66.6	0.45
PLAYWRITING		67.05	0.45
:		67.5	0.5
+		68.0	0.1
REE		68.1	0.45
IMPORLENCE		68.55	0.45
OY		69.0	0.45
MORTIGRO		69.45	0.45
RIZE		69.9	0.45
EN		70.35	0.45
SUME		70.8	0.45
OOROMILS		71.25	0.45
HOR		71.7	0.45
BOUN		72.15	0.45
CLOROUGHLY		72.6	0.45
DIDORSTROTED		73.05	0.45
:		73.5	0.5
+		74.0	0.1
HU		74.1	0.45
CONCOLERED		74.55	0.45
OCISING		75.0	0.45
O		75.45	0.45
CAG		75.9	0.45
OY		76.35	0.45
BOUR		76.8	0.45
LUT		77.25	0.45
VEROUD		77.7	0.45
FROT		78.15	0.45
UCUO		78.6	0.45
SOO		79.05	0.45
:		79.5	0.5
+		80.0	0.1
NOVE		80.1	0.45
OY		80.55	0.45
UR		81.0	0.45
WAM		81.45	0.45
OFURE		81.9	0.45
FROT		82.35	0.45
REE		82.8	0.45
BIBBEST		83.25	0.45
FIFFS		83.7	0.45
WAM		84.15	0.45
STULL		84.6	0.45
OFO		85.05	0.45
:		85.5	0.5
+		86.0	14.0
+		100.0	0.1
AFTER		100.1	0.45
THAT		100.55	0.45
THEY		101.0	0.45
HAD		101.45	0.45
