	trial_number	pair_number	display	duration	onset	recall_display	recall_answer	trial_type
0	1	-1	Please select the amount of time you wish to spend on rehersal.	3.92	0.0	N/A	N/A	estimate
1	1	0	PQ24ZHGTF4NW2X3AR3J11YCL	10.0	0.0	N/A	N/A	rehersal
2	1	0	                    	2.62	10.0	N/A	N/A	fixation
3	1	1	                   1    	10.0	12.620000000000001	19	20	recall
4	1	0	                    	2.7	22.62	N/A	N/A	fixation
5	1	2	            2           	10.0	25.32	12	2	recall
6	1	0	                    	2.05	35.32	N/A	N/A	fixation
7	1	3	                 3      	10.0	37.37	17	14	recall
8	1	0	                    	1.7	47.37	N/A	N/A	fixation
9	1	4	         4              	10.0	49.07	9	3	recall
10	0	-1	                    	2.09	59.07	N/A	N/A	fixation
11	1	-1	How many pairs did you get right?	4.34	61.16	N/A	N/A	performance
12	0	-1	                    	2.9299999999999997	65.5	N/A	N/A	fixation
0	2	0	6G6A3124ER4P2V3S51DM5ZCK	10.0	68.43	N/A	N/A	rehersal
1	2	0	                    	2.13	78.43	N/A	N/A	fixation
2	2	1	     1                  	10.0	80.56	5	17	recall
3	2	0	                    	2.7199999999999998	90.56	N/A	N/A	fixation
4	2	2	            2           	10.0	93.28	12	6	recall
5	2	0	                    	1.75	103.28	N/A	N/A	fixation
6	2	3	              3         	10.0	105.03	14	4	recall
7	2	0	                    	2.74	115.03	N/A	N/A	fixation
8	2	4	       4                	10.0	117.77	7	10	recall
9	2	0	                    	2.81	127.77	N/A	N/A	fixation
10	2	5	                5       	10.0	130.57999999999998	16	20	recall
11	2	0	                    	2.19	140.57999999999998	N/A	N/A	fixation
12	2	6	  6                     	10.0	142.76999999999998	2	0	recall
13	0	-1	                    	2.59	152.76999999999998	N/A	N/A	fixation
14	2	-1	How many pairs did you get right?	4.38	155.35999999999999	N/A	N/A	performance
15	0	-1	                    	2.87	159.73999999999998	N/A	N/A	fixation
