target,response1,response2
broadcaster,jeep,floor
hair,babysitter,parmesan
antelope,kumquat,deck
poker,sealant,bassist
cerebellum,trap,whale
neurologist,engraver,sheetrock
plow,copperhead,sandlot
muzzle,cannon,whitetail
ridge,persimmon,gunnysack
cellist,throne,puss
dingo,peanut,spokesman
scalpel,bluefish,pudding
clock,stepsister,matchstick
server,mayflower,statuette
dachshund,butternut,bookstore
washroom,glider,jalapeno
sawmill,butterfly,garlic
cityscape,fabric,landlord
ivory,latrine,traveler
seaplane,vermin,searchlight
software,foxhole,newspaperman
lanyard,showgirl,kindergartener
garnish,twister,clockmaker
stethoscope,rod,schoolchild
skydiver,stylus,newscaster
barn,sheepherder,duck
machinery,ropes,burglar
wire,physiologist,quiche
toast,barmaid,tank
toucan,stripe,filter
buffet,pet,flutist
dogfight,newspaper,barnacle
houseboy,router,schooner
garb,raspberry,nest
transmitter,licorice,housecoat
grower,vagina,copier
pyrotechnics,hostess,twig
clergyman,grape,breastplate
pediatrician,policewoman,hairdo
bath,fullback,topsail
dipper,signalman,mom
tote,geisha,cowgirl
dildo,pendant,laundrywoman
newspaperwoman,flannel,buttercup
bobsleigh,transcriber,doormat
tomboy,air,battleship
hornet,jumper,streetcar
corkboard,spitball,henchman
bunker,gunsmith,buffet
hitchhiker,crutch,butterfly
archbishop,microscope,skin
honeycomb,steeple,squire
monkey,searchlight,lad
woodworm,statuette,bunk
interrogator,physiologist,washcloth
pigskin,gravedigger,pager
bellman,skateboard,hairbrush
makeup,daybed,salesperson
mastiff,bouncer,batwing
sister,flowerpot,orchid
cummerbund,bandleader,rook
signalman,sewer,whitefish
foreman,casino,puree
headlock,dumbbell,pilot
fruitcake,lemon,ball
voicemail,birthmark,paparazzo
cannabis,brewery,steamboat
sleepwalker,hankie,sludge
reflector,furnace,triggerman
motorboat,subsoil,groundsman
sesame,bamboo,clipper
dwelling,digits,schnauzer
bathroom,bailiff,mantis
muffler,grapefruit,novelist
barbwire,mandolin,rooster
mussel,bellhop,cannonball
walrus,garment,parishioner
gunfight,spectator,spyglass
ninja,watchdog,bullet
duke,stockyard,lamplighter
stylist,metronome,conductor
bouquet,gazebo,neurologist
elm,guitar,artichoke
hubby,negro,cushion
grandnephew,doornail,chrome
needlepoint,veterinarian,eraser
clipper,amphetamine,poet
poodle,bobcat,firehouse
sailorman,boater,chick
nameplate,stonecutter,noose
backpacker,letter,butterfly
ponytail,flooring,lawyer
assistant,sprayer,upholstery
chinaware,writer,jeep
washtub,bird,fender
saddle,rhino,jackhammer
hydrosulfide,milkmaid,workstation
classroom,cricket,stud
college,encyclopedia,cattle
pornographer,shipmate,roadster
trespasser,relic,reel
coffin,golfer,pod
putty,highchair,doctor
campground,stargazer,greenhouse
diner,thresher,picket
manger,landlord,condominium
sister,snowcap,lens
handrail,saxophone,hygienist
livestock,tambourine,passkey
toffee,bridegroom,cabana
algae,clothing,freight
toothpaste,goalpost,cricket
barnyard,dolphin,stockroom
pimento,morgue,wristlet
plainclothesman,mirror,incision
passport,warden,microprocessor
synagogue,archbishop,drapery
stiletto,monument,marigold
shoehorn,protestor,tomboy
stepsister,spectroscope,cellist
battleaxe,bagpiper,phone
blazer,odometer,termite
warhorse,griddle,marsupial
turnip,jet,tray
armchair,caffeine,groundhog
brickwork,terrarium,busboy
panhandler,neuropsychologist,extinguisher
pheasant,cobbler,towline
inkwell,washtub,fencer
flyer,bugler,footlocker
slab,wizard,grin
umpire,whitetail,laptop
leech,hardcover,wallboard
pork,booth,pawnbroker
doorstop,tobacco,scallion
author,milepost,nutshell
grandma,stepfather,product
herringbone,silo,mammal
contortionist,hotel,astronaut
scout,cornflakes,trumpet
prosthesis,electrician,possum
bowtie,snowball,mortar
entryway,yeast,seaweed
nameplate,comforter,moth
motorboat,denture,starfish
skyscraper,pickaxe,custodian
tavern,canary,workspace
storekeeper,ballroom,stone
pole,pioneer,golfer
eggshell,supertanker,cayenne
outboard,furniture,druggist
synagogue,grandma,neckband
cranberry,golfer,petticoat
mole,sequin,watercolorist
fairground,doorman,hearth
motorbus,stepdaughter,sandal
labyrinth,anesthesiologist,tower
alfalfa,pastry,restaurant
dyke,wineglass,torch
canary,dowel,drip
casserole,mule,bodice
quartermaster,purse,tack
ticket,puppy,harness
sweeper,seahorse,carpeting
spoon,ringmaster,swordsman
fountain,bookseller,doctor
face,pueblo,hearth
barista,bakeshop,assistant
purse,pope,forklift
canary,grindstone,underclothing
cash,waterwheel,auntie
throne,sack,asparagus
jockey,fencing,headphone
mousse,mammoth,laptop
flannel,matador,sackcloth
fishbowl,boomerang,serviceman
envelope,beefsteak,shoplifter
larva,rayon,hologram
headlight,daffodil,fish
curtain,knitting,aphid
cobra,shrimp,stoneware
crematorium,bench,orchid
cheetah,honeysuckle,implant
campfire,strawberry,crabgrass
doorstep,teacher,lady
canary,winery,physicist
sleepwalker,holster,pullover
telescope,chaplain,moviegoer
rancher,dingo,cloakroom
protractor,troll,warrior
bluebonnet,textile,sketchbook
matchbox,tuba,porcupine
chamber,mustang,stock
blackbird,hologram,pail
engraving,bedsore,whitetail
stepbrother,ponytail,gunslinger
denim,etching,sergeant
nut,skydiver,cockroach
stump,boyfriend,tights
landowner,greens,slate
snowball,marionette,blueberry
primrose,actress,penlight
roommate,flannel,committeewoman
quiche,scoreboard,puffin
groomer,peony,turtleneck
brunette,typhoon,waistcoat
freeway,tailor,skyscraper
bedmate,beef,sandbar
grate,solarium,owl
squash,label,bassoon
firefighter,shoestring,huckleberry
masseur,frosting,otter
dandruff,townsman,shoelace
propeller,zinc,midshipman
recipe,snowsuit,contractor
buzzer,farmer,gear
atomizer,thyme,duck
reporter,kiosk,limestone
maestro,tripod,spear
varmint,email,cord
terrycloth,jackrabbit,sprocket
rifleman,joust,igloo
knickknack,terrace,cranberry
drawbridge,microbe,commentator
samurai,breadbox,relic
cheerleader,beet,vent
slaughterhouse,lion,tobacco
glasses,crabgrass,head
tailcoat,chess,bellman
birdcage,prune,bird
fabric,archbishop,werewolf
art,satinwood,belt
driveway,conquistador,neckwear
geographer,tomcat,chalet
hammock,baron,newspaper
paintbox,pigeon,birdhouse
puffin,outhouse,graveside
bayberry,handsaw,dandruff
grits,brickwork,pelican
tundra,oyster,muff
interrogator,seahorse,rag
pendant,doctor,ammo
stapler,cement,hematologist
pegboard,chrome,butterfly
gnat,vial,tambourine
flamethrower,warbler,shamrock
stapler,counselor,cleric
drums,saxophonist,spectrometer
scoutmaster,bishop,flattop
hangar,beekeeper,doorjamb
mural,warden,skid
ethanol,granddaddy,poolroom
tanker,derby,shaker
fortuneteller,checkbook,wiring
axe,easel,orthopedist
chipmunk,cathedral,bazooka
tablet,flamingo,embryo
tapeworm,scoutmaster,garbanzo
plank,vulture,synthesizer
urchin,podium,mantis
spear,summit,shoemaker
eyeglasses,homepage,paratrooper
spandex,bystander,comedian
steeple,chaperon,limb
hookworm,clipboard,webcam
bookkeeper,hothouse,thunderstorm
patrolman,denim,highlighter
mat,sandpiper,fern
bull,seatbelt,feather
keyboardist,washwoman,carrot
alehouse,parent,parenthesis
trigger,dinosaur,peppermint
grandparent,earphone,cassette
bayberry,piano,body
gutter,outdoorsman,controller
librarian,roadhouse,warship
tux,prizefighter,crisps
panel,eyepiece,cockatiel
cabin,samurai,urinal
matador,barnyard,meteorologist
mahogany,envelope,dogwood
caddy,composer,choreographer
hammer,anthrax,urologist
grandparent,candleholder,paddle
surgeon,gunboat,loop
cap,scorpion,pill
pub,diver,saxophone
lobe,crustacean,apple
pantsuit,couch,ruler
guardhouse,battleship,hairdresser
newsagent,garbage,doornail
goaltender,pebble,scrabble
curtain,orphan,cornmeal
veneer,orchestra,ovum
stair,satinwood,mustache
pomegranate,artery,maze
cigarette,wheelbarrow,snapper
marionette,seam,pimento
bedpan,anthrax,inspector
hitchhiker,sword,specimen
snowball,jackknife,bulb
tiller,bayonet,farmer
pegboard,shooter,man
airway,zinfandel,surfer
cockatoo,mutant,library
meteor,sniper,marcher
ivory,barricade,pharmacist
lifesaver,shoemaker,turntable
laboratory,eatery,sportswoman
marigold,fibula,canoe
bullring,footstool,turncoat
village,kidnapper,megaphone
showgirl,neuroscientist,tailpipe
bike,stewardess,halo
beautician,pony,faucet
choirboy,decal,streetwalker
nurse,automobile,crowd
theater,engineer,film
length,grocery,woodpecker
hummingbird,dishwasher,spectrometer
purr,hairpiece,lieutenant
chambermaid,silicon,wharf
scabbard,roundness,racehorse
manager,stateroom,block
diaper,hatband,seahorse
