word	format	onset	duration
Fred		10.0	0.5
and		10.5	0.5
George		11.0	0.5
had		11.5	0.5
hardly		12.0	0.5
disappeared		12.5	0.5
when		13.0	0.5
someone		13.5	0.5
far		14.0	0.5
less		14.5	0.5
welcome		15.0	0.5
turned		15.5	0.5
up:		16.0	0.5
Malfoy,		16.5	0.5
flanked		17.0	0.5
by		17.5	0.5
Crabbe		18.0	0.5
and		18.5	0.5
Goyle.		19.0	0.5
+		19.5	0.5
"""Having"		20.0	0.5
a		20.5	0.5
last		21.0	0.5
meal,		21.5	0.5
Potter?		22.0	0.5
When		22.5	0.5
are		23.0	0.5
you		23.5	0.5
getting		24.0	0.5
the		24.5	0.5
train		25.0	0.5
back		25.5	0.5
to		26.0	0.5
the		26.5	0.5
"Muggles?"""		27.0	0.5
+		27.5	0.5
"""You're"		28.0	0.5
a		28.5	0.5
lot		29.0	0.5
braver		29.5	0.5
now		30.0	0.5
that		30.5	0.5
you're		31.0	0.5
back		31.5	0.5
on		32.0	0.5
the		32.5	0.5
ground		33.0	0.5
and		33.5	0.5
you've		34.0	0.5
got		34.5	0.5
your		35.0	0.5
little		35.5	0.5
friends		36.0	0.5
with		36.5	0.5
"you,"""		37.0	0.5
said		37.5	0.5
Harry		38.0	0.5
coolly.		38.5	0.5
There		39.0	0.5
was		39.5	0.5
of		40.0	0.5
course		40.5	0.5
nothing		41.0	0.5
at		41.5	0.5
all		42.0	0.5
little		42.5	0.5
about		43.0	0.5
Crabbe		43.5	0.5
and		44.0	0.5
Goyle,		44.5	0.5
but		45.0	0.5
as		45.5	0.5
the		46.0	0.5
High		46.5	0.5
Table		47.0	0.5
was		47.5	0.5
full		48.0	0.5
of		48.5	0.5
teachers,		49.0	0.5
neither		49.5	0.5
of		50.0	0.5
them		50.5	0.5
could		51.0	0.5
do		51.5	0.5
more		52.0	0.5
than		52.5	0.5
crack		53.0	0.5
their		53.5	0.5
knuckles		54.0	0.5
and		54.5	0.5
scowl.		55.0	0.5
+		55.5	0.5
"""I'd"		56.0	0.5
take		56.5	0.5
you		57.0	0.5
on		57.5	0.5
anytime		58.0	0.5
on		58.5	0.5
my		59.0	0.5
"own,"""		59.5	0.5
said		60.0	0.5
Malfoy.		60.5	0.5
"""Tonight,"		61.0	0.5
if		61.5	0.5
you		62.0	0.5
want.		62.5	0.5
Wizard's		63.0	0.5
duel.		63.5	0.5
Wands		64.0	0.5
only		64.5	0.5
--		65.0	0.5
no		65.5	0.5
contact.		66.0	0.5
What's		66.5	0.5
the		67.0	0.5
matter?		67.5	0.5
Never		68.0	0.5
heard		68.5	0.5
of		69.0	0.5
a		69.5	0.5
wizard's		70.0	0.5
duel		70.5	0.5
before,		71.0	0.5
I		71.5	0.5
"suppose?"""		72.0	0.5
+		72.5	0.5
"""Of"		73.0	0.5
course		73.5	0.5
he		74.0	0.5
"has,"""		74.5	0.5
said		75.0	0.5
Ron,		75.5	0.5
wheeling		76.0	0.5
around.		76.5	0.5
"""I'm"		77.0	0.5
his		77.5	0.5
second,		78.0	0.5
who's		78.5	0.5
"yours?"""		79.0	0.5
+		79.5	0.5
Malfoy		80.0	0.5
looked		80.5	0.5
at		81.0	0.5
Crabbe		81.5	0.5
and		82.0	0.5
Goyle,		82.5	0.5
sizing		83.0	0.5
them		83.5	0.5
up.		84.0	0.5
+		84.5	0.5
"""Crabbe,"""		85.0	0.5
he		85.5	0.5
said.		86.0	0.5
"""Midnight"		86.5	0.5
all		87.0	0.5
right?		87.5	0.5
We'll		88.0	0.5
meet		88.5	0.5
you		89.0	0.5
in		89.5	0.5
the		90.0	0.5
trophy		90.5	0.5
room;		91.0	0.5
that's		91.5	0.5
always		92.0	0.5
"unlocked."""		92.5	0.5
+		93.0	0.5
When		93.5	0.5
Malfoy		94.0	0.5
had		94.5	0.5
gone,		95.0	0.5
Ron		95.5	0.5
and		96.0	0.5
Harry		96.5	0.5
looked		97.0	0.5
at		97.5	0.5
each		98.0	0.5
other.		98.5	0.5
+		99.0	0.5
"""What"		99.5	0.5
is	italic	100.0	0.5
a		100.5	0.5
wizard's		101.0	0.5
"duel?"""		101.5	0.5
said		102.0	0.5
Harry.		102.5	0.5
"""And"		103.0	0.5
what		103.5	0.5
do		104.0	0.5
you		104.5	0.5
mean,		105.0	0.5
you're		105.5	0.5
my		106.0	0.5
"second?"""		106.5	0.5
+		107.0	0.5
"""Well,"		107.5	0.5
a		108.0	0.5
second's		108.5	0.5
there		109.0	0.5
to		109.5	0.5
take		110.0	0.5
over		110.5	0.5
if		111.0	0.5
you		111.5	0.5
"die,"""		112.0	0.5
said		112.5	0.5
Ron		113.0	0.5
casually,		113.5	0.5
getting		114.0	0.5
started		114.5	0.5
at		115.0	0.5
last		115.5	0.5
on		116.0	0.5
his		116.5	0.5
cold		117.0	0.5
