word	format	onset	duration
+		0	10
"""Give"		10.0	0.5
that		10.5	0.5
here,		11.0	0.5
"Malfoy,"""		11.5	0.5
said		12.0	0.5
Harry		12.5	0.5
quietly.		13.0	0.5
Everyone		13.5	0.5
stopped		14.0	0.5
talking		14.5	0.5
to		15.0	0.5
watch.		15.5	0.5
+		16.0	0.5
Malfoy		16.5	0.5
smiled		17.0	0.5
nastily.		17.5	0.5
"""I"		18.0	0.5
think		18.5	0.5
I'll		19.0	0.5
leave		19.5	0.5
it		20.0	0.5
somewhere		20.5	0.5
for		21.0	0.5
Longbottom		21.5	0.5
to		22.0	0.5
find		22.5	0.5
—		23.0	0.5
how		23.5	0.5
about		24.0	0.5
—		24.5	0.5
up		25.0	0.5
a		25.5	0.5
"tree?"""		26.0	0.5
+		26.5	0.5
"""Give"		27.0	0.5
it		27.5	0.5
"here!"""	italic	28.0	0.5
Harry		28.5	0.5
yelled,		29.0	0.5
but		29.5	0.5
Malfoy		30.0	0.5
had		30.5	0.5
leapt		31.0	0.5
onto		31.5	0.5
his		32.0	0.5
broomstick		32.5	0.5
and		33.0	0.5
taken		33.5	0.5
off.		34.0	0.5
He		34.5	0.5
hadn't		35.0	0.5
been		35.5	0.5
lying,		36.0	0.5
he		36.5	0.5
could	italic	37.0	0.5
fly		37.5	0.5
well.		38.0	0.5
Hovering		38.5	0.5
level		39.0	0.5
with		39.5	0.5
the		40.0	0.5
topmost		40.5	0.5
branches		41.0	0.5
of		41.5	0.5
an		42.0	0.5
oak		42.5	0.5
he		43.0	0.5
called,		43.5	0.5
"""Come"		44.0	0.5
and		44.5	0.5
get		45.0	0.5
it,		45.5	0.5
"Potter!"""		46.0	0.5
+		46.5	0.5
Harry		47.0	0.5
grabbed		47.5	0.5
his		48.0	0.5
broom.		48.5	0.5
+		49.0	0.5
"""No!"""	italic	49.5	0.5
shouted		50.0	0.5
Hermione		50.5	0.5
Granger.		51.0	0.5
"""Madam"		51.5	0.5
Hooch		52.0	0.5
told		52.5	0.5
us		53.0	0.5
not		53.5	0.5
to		54.0	0.5
move		54.5	0.5
—		55.0	0.5
you'll		55.5	0.5
get		56.0	0.5
us		56.5	0.5
all		57.0	0.5
into		57.5	0.5
"trouble."""		58.0	0.5
+		58.5	0.5
Harry		59.0	0.5
ignored		59.5	0.5
her.		60.0	0.5
Blood		60.5	0.5
was		61.0	0.5
pounding		61.5	0.5
in		62.0	0.5
his		62.5	0.5
ears.		63.0	0.5
He		63.5	0.5
mounted		64.0	0.5
the		64.5	0.5
broom		65.0	0.5
and		65.5	0.5
kicked		66.0	0.5
hard		66.5	0.5
against		67.0	0.5
the		67.5	0.5
ground		68.0	0.5
and		68.5	0.5
up,		69.0	0.5
up		69.5	0.5
he		70.0	0.5
soared;		70.5	0.5
air		71.0	0.5
rushed		71.5	0.5
through		72.0	0.5
his		72.5	0.5
hair,		73.0	0.5
and		73.5	0.5
his		74.0	0.5
robes		74.5	0.5
whipped		75.0	0.5
out		75.5	0.5
behind		76.0	0.5
him		76.5	0.5
—		77.0	0.5
and		77.5	0.5
in		78.0	0.5
a		78.5	0.5
rush		79.0	0.5
of		79.5	0.5
fierce		80.0	0.5
joy		80.5	0.5
he		81.0	0.5
realized		81.5	0.5
he'd		82.0	0.5
found		82.5	0.5
something		83.0	0.5
he		83.5	0.5
could		84.0	0.5
do		84.5	0.5
without		85.0	0.5
being		85.5	0.5
taught		86.0	0.5
—		86.5	0.5
this		87.0	0.5
was		87.5	0.5
easy,		88.0	0.5
this		88.5	0.5
was		89.0	0.5
wonderful.	italic	89.5	0.5
He		90.0	0.5
pulled		90.5	0.5
his		91.0	0.5
broomstick		91.5	0.5
up		92.0	0.5
a		92.5	0.5
little		93.0	0.5
to		93.5	0.5
take		94.0	0.5
it		94.5	0.5
even		95.0	0.5
higher,		95.5	0.5
and		96.0	0.5
heard		96.5	0.5
screams		97.0	0.5
and		97.5	0.5
gasps		98.0	0.5
of		98.5	0.5
girls		99.0	0.5
back		99.5	0.5
on		100.0	0.5
the		100.5	0.5
ground		101.0	0.5
and		101.5	0.5
an		102.0	0.5
admiring		102.5	0.5
whoop		103.0	0.5
from		103.5	0.5
Ron.		104.0	0.5
+		104.5	0.5
He		105.0	0.5
turned		105.5	0.5
his		106.0	0.5
broomstick		106.5	0.5
sharply		107.0	0.5
to		107.5	0.5
face		108.0	0.5
Malfoy		108.5	0.5
in		109.0	0.5
midair.		109.5	0.5
+		110.0	0.5
Malfoy		110.5	0.5
looked		111.0	0.5
stunned.		111.5	0.5
"""Give"		112.0	0.5
it		112.5	0.5
"here,"""		113.0	0.5
Harry		113.5	0.5
called,		114.0	0.5
"""or"		114.5	0.5
I'll		115.0	0.5
knock		115.5	0.5
you		116.0	0.5
off		116.5	0.5
that		117.0	0.5
"broom!"""		117.5	0.5
+		118.0	0.5
"""Oh,"		118.5	0.5
"yeah?"""		119.0	0.5
said		119.5	0.5
Malfoy,		120.0	0.5
trying		120.5	0.5
to		121.0	0.5
sneer,		121.5	0.5
but		122.0	0.5
looking		122.5	0.5
worried.		123.0	0.5
+		123.5	0.5
Harry		124.0	0.5
knew,		124.5	0.5
somehow,		125.0	0.5
what		125.5	0.5
to		126.0	0.5
do.		126.5	0.5
He		127.0	0.5
leaned		127.5	0.5
forward		128.0	0.5
and		128.5	0.5
grasped		129.0	0.5
the		129.5	0.5
broom		130.0	0.5
tightly		130.5	0.5
in		131.0	0.5
both		131.5	0.5
hands,		132.0	0.5
and		132.5	0.5
it		133.0	0.5
shot		133.5	0.5
toward		134.0	0.5
Malfoy		134.5	0.5
like		135.0	0.5
a		135.5	0.5
javelin.		136.0	0.5
Malfoy		136.5	0.5
only		137.0	0.5
just		137.5	0.5
got		138.0	0.5
out		138.5	0.5
of		139.0	0.5
the		139.5	0.5
way		140.0	0.5
in		140.5	0.5
time;		141.0	0.5
Harry		141.5	0.5
made		142.0	0.5
a		142.5	0.5
sharp		143.0	0.5
about-face		143.5	0.5
and		144.0	0.5
held		144.5	0.5
the		145.0	0.5
broom		145.5	0.5
steady.		146.0	0.5
A		146.5	0.5
few		147.0	0.5
people		147.5	0.5
below		148.0	0.5
were		148.5	0.5
clapping.		149.0	0.5
+		149.5	0.5
"""No"		150.0	0.5
Crabbe		150.5	0.5
and		151.0	0.5
Goyle		151.5	0.5
up		152.0	0.5
here		152.5	0.5
to		153.0	0.5
save		153.5	0.5
your		154.0	0.5
neck,		154.5	0.5
"Malfoy,"""		155.0	0.5
Harry		155.5	0.5
called.		156.0	0.5
+		156.5	0.5
The		157.0	0.5
same		157.5	0.5
thought		158.0	0.5
seemed		158.5	0.5
to		159.0	0.5
have		159.5	0.5
struck		160.0	0.5
Malfoy.		160.5	0.5
+		161.0	0.5
"""Catch"		161.5	0.5
it		162.0	0.5
if		162.5	0.5
you		163.0	0.5
can,		163.5	0.5
"then!"""		164.0	0.5
he		164.5	0.5
shouted,		165.0	0.5
and		165.5	0.5
he		166.0	0.5
threw		166.5	0.5
the		167.0	0.5
glass		167.5	0.5
ball		168.0	0.5
high		168.5	0.5
into		169.0	0.5
the		169.5	0.5
air		170.0	0.5
and		170.5	0.5
streaked		171.0	0.5
back		171.5	0.5
toward		172.0	0.5
the		172.5	0.5
ground.		173.0	0.5
+		173.5	0.5
Harry		174.0	0.5
saw,		174.5	0.5
as		175.0	0.5
though		175.5	0.5
in		176.0	0.5
slow		176.5	0.5
motion,		177.0	0.5
the		177.5	0.5
ball		178.0	0.5
rise		178.5	0.5
up		179.0	0.5
in		179.5	0.5
the		180.0	0.5
air		180.5	0.5
and		181.0	0.5
then		181.5	0.5
start		182.0	0.5
to		182.5	0.5
fall.		183.0	0.5
He		183.5	0.5
leaned		184.0	0.5
forward		184.5	0.5
and		185.0	0.5
pointed		185.5	0.5
his		186.0	0.5
broom		186.5	0.5
handle		187.0	0.5
down		187.5	0.5
—		188.0	0.5
next		188.5	0.5
second		189.0	0.5
he		189.5	0.5
was		190.0	0.5
gathering		190.5	0.5
speed		191.0	0.5
in		191.5	0.5
a		192.0	0.5
steep		192.5	0.5
dive,		193.0	0.5
racing		193.5	0.5
the		194.0	0.5
ball		194.5	0.5
—		195.0	0.5
wind		195.5	0.5
whistled		196.0	0.5
in		196.5	0.5
his		197.0	0.5
ears,		197.5	0.5
mingled		198.0	0.5
with		198.5	0.5
the		199.0	0.5
screams		199.5	0.5
of		200.0	0.5
people		200.5	0.5
watching		201.0	0.5
—		201.5	0.5
he		202.0	0.5
stretched		202.5	0.5
out		203.0	0.5
his		203.5	0.5
hand		204.0	0.5
—		204.5	0.5
a		205.0	0.5
foot		205.5	0.5
from		206.0	0.5
the		206.5	0.5
ground		207.0	0.5
he		207.5	0.5
caught		208.0	0.5
it,		208.5	0.5
just		209.0	0.5
in		209.5	0.5
time		210.0	0.5
to		210.5	0.5
pull		211.0	0.5
his		211.5	0.5
broom		212.0	0.5
straight,		212.5	0.5
and		213.0	0.5
he		213.5	0.5
toppled		214.0	0.5
gently		214.5	0.5
onto		215.0	0.5
the		215.5	0.5
grass		216.0	0.5
with		216.5	0.5
the		217.0	0.5
Remembrall		217.5	0.5
clutched		218.0	0.5
safely		218.5	0.5
in		219.0	0.5
his		219.5	0.5
fist.		220.0	0.5
+		220.5	0.5
"""HARRY"		221.0	0.5
"POTTER!"""		221.5	0.5
+		222.0	0.5
His		222.5	0.5
heart		223.0	0.5
sank		223.5	0.5
faster		224.0	0.5
than		224.5	0.5
he'd		225.0	0.5
just		225.5	0.5
dived.		226.0	0.5
Professor		226.5	0.5
McGonagall		227.0	0.5
was		227.5	0.5
running		228.0	0.5
toward		228.5	0.5
them.		229.0	0.5
He		229.5	0.5
got		230.0	0.5
to		230.5	0.5
his		231.0	0.5
feet,		231.5	0.5
trembling.		232.0	0.5
+		232.5	0.5
"""Never"	italic	233.0	0.5
—		233.5	0.5
in		234.0	0.5
all		234.5	0.5
my		235.0	0.5
time		235.5	0.5
at		236.0	0.5
Hogwarts		236.5	0.5
"—"""		237.0	0.5
Professor		237.5	0.5
McGonagall		238.0	0.5
was		238.5	0.5
almost		239.0	0.5
speechless		239.5	0.5
with		240.0	0.5
shock,		240.5	0.5
and		241.0	0.5
her		241.5	0.5
glasses		242.0	0.5
flashed		242.5	0.5
furiously,		243.0	0.5
"""—"		243.5	0.5
how		244.0	0.5
dare	italic	244.5	0.5
you		245.0	0.5
—		245.5	0.5
might		246.0	0.5
have		246.5	0.5
broken		247.0	0.5
your		247.5	0.5
neck		248.0	0.5
"—"""		248.5	0.5
+		249.0	0.5
"""It"		249.5	0.5
