word	format	onset	duration
Ron		10.0	0.5
looked		10.5	0.5
at		11.0	0.5
his		11.5	0.5
watch		12.0	0.5
and		12.5	0.5
then		13.0	0.5
glared		13.5	0.5
furiously		14.0	0.5
at		14.5	0.5
Hermione		15.0	0.5
and		15.5	0.5
Neville.		16.0	0.5
+		16.5	0.5
"""If"		17.0	0.5
either		17.5	0.5
of		18.0	0.5
you		18.5	0.5
get		19.0	0.5
us		19.5	0.5
caught,		20.0	0.5
I'll		20.5	0.5
never		21.0	0.5
rest		21.5	0.5
until		22.0	0.5
I've		22.5	0.5
learned		23.0	0.5
that		23.5	0.5
Curse		24.0	0.5
of		24.5	0.5
the		25.0	0.5
Bogies		25.5	0.5
Quirrell		26.0	0.5
told		26.5	0.5
us		27.0	0.5
about,		27.5	0.5
and		28.0	0.5
used		28.5	0.5
it		29.0	0.5
on		29.5	0.5
"you."""		30.0	0.5
+		30.5	0.5
Hermione		31.0	0.5
opened		31.5	0.5
her		32.0	0.5
mouth,		32.5	0.5
perhaps		33.0	0.5
to		33.5	0.5
tell		34.0	0.5
Ron		34.5	0.5
exactly		35.0	0.5
how		35.5	0.5
to		36.0	0.5
use		36.5	0.5
the		37.0	0.5
Curse		37.5	0.5
of		38.0	0.5
the		38.5	0.5
Bogies,		39.0	0.5
but		39.5	0.5
Harry		40.0	0.5
hissed		40.5	0.5
at		41.0	0.5
her		41.5	0.5
to		42.0	0.5
be		42.5	0.5
quiet		43.0	0.5
and		43.5	0.5
beckoned		44.0	0.5
them		44.5	0.5
all		45.0	0.5
forward.		45.5	0.5
+		46.0	0.5
They		46.5	0.5
flitted		47.0	0.5
along		47.5	0.5
corridors		48.0	0.5
striped		48.5	0.5
with		49.0	0.5
bars		49.5	0.5
of		50.0	0.5
moonlight		50.5	0.5
from		51.0	0.5
the		51.5	0.5
high		52.0	0.5
windows.		52.5	0.5
At		53.0	0.5
every		53.5	0.5
turn		54.0	0.5
Harry		54.5	0.5
expected		55.0	0.5
to		55.5	0.5
run		56.0	0.5
into		56.5	0.5
Filch		57.0	0.5
or		57.5	0.5
Mrs.		58.0	0.5
Norris,		58.5	0.5
but		59.0	0.5
they		59.5	0.5
were		60.0	0.5
lucky.		60.5	0.5
They		61.0	0.5
sped		61.5	0.5
up		62.0	0.5
a		62.5	0.5
staircase		63.0	0.5
to		63.5	0.5
the		64.0	0.5
third		64.5	0.5
floor		65.0	0.5
and		65.5	0.5
tiptoed		66.0	0.5
toward		66.5	0.5
the		67.0	0.5
trophy		67.5	0.5
room.		68.0	0.5
+		68.5	0.5
Malfoy		69.0	0.5
and		69.5	0.5
Crabbe		70.0	0.5
weren't		70.5	0.5
there		71.0	0.5
yet.		71.5	0.5
The		72.0	0.5
crystal		72.5	0.5
trophy		73.0	0.5
cases		73.5	0.5
glimmered		74.0	0.5
where		74.5	0.5
the		75.0	0.5
moonlight		75.5	0.5
caught		76.0	0.5
them.		76.5	0.5
Cups,		77.0	0.5
shields,		77.5	0.5
plates,		78.0	0.5
and		78.5	0.5
statues		79.0	0.5
winked		79.5	0.5
silver		80.0	0.5
and		80.5	0.5
gold		81.0	0.5
in		81.5	0.5
the		82.0	0.5
darkness.		82.5	0.5
They		83.0	0.5
edged		83.5	0.5
along		84.0	0.5
the		84.5	0.5
walls,		85.0	0.5
keeping		85.5	0.5
their		86.0	0.5
eyes		86.5	0.5
on		87.0	0.5
the		87.5	0.5
doors		88.0	0.5
at		88.5	0.5
either		89.0	0.5
end		89.5	0.5
of		90.0	0.5
the		90.5	0.5
room.		91.0	0.5
Harry		91.5	0.5
took		92.0	0.5
out		92.5	0.5
his		93.0	0.5
wand		93.5	0.5
in		94.0	0.5
case		94.5	0.5
Malfoy		95.0	0.5
leapt		95.5	0.5
in		96.0	0.5
and		96.5	0.5
started		97.0	0.5
at		97.5	0.5
once.		98.0	0.5
The		98.5	0.5
minutes		99.0	0.5
crept		99.5	0.5
by.		100.0	0.5
+		100.5	0.5
"""He's"		101.0	0.5
late,		101.5	0.5
maybe		102.0	0.5
he's		102.5	0.5
chickened		103.0	0.5
"out,"""		103.5	0.5
Ron		104.0	0.5
whispered.		104.5	0.5
+		105.0	0.5
Then		105.5	0.5
a		106.0	0.5
noise		106.5	0.5
in		107.0	0.5
the		107.5	0.5
next		108.0	0.5
room		108.5	0.5
made		109.0	0.5
them		109.5	0.5
jump.		110.0	0.5
Harry		110.5	0.5
had		111.0	0.5
only		111.5	0.5
just		112.0	0.5
raised		112.5	0.5
his		113.0	0.5
wand		113.5	0.5
when		114.0	0.5
they		114.5	0.5
heard		115.0	0.5
someone		115.5	0.5
speak		116.0	0.5
--		116.5	0.5
and		117.0	0.5
it		117.5	0.5
wasn't		118.0	0.5
Malfoy.		118.5	0.5
+		119.0	0.5
"""Sniff"		119.5	0.5
around,		120.0	0.5
my		120.5	0.5
sweet,		121.0	0.5
they		121.5	0.5
might		122.0	0.5
be		122.5	0.5
lurking		123.0	0.5
in		123.5	0.5
a		124.0	0.5
"corner."""		124.5	0.5
+		125.0	0.5
It		125.5	0.5
was		126.0	0.5
Filch		126.5	0.5
speaking		127.0	0.5
to		127.5	0.5
Mrs.		128.0	0.5
Norris.		128.5	0.5
Horror-struck,		129.0	0.5
Harry		129.5	0.5
waved		130.0	0.5
madly		130.5	0.5
at		131.0	0.5
the		131.5	0.5
other		132.0	0.5
three		132.5	0.5
to		133.0	0.5
follow		133.5	0.5
him		134.0	0.5
as		134.5	0.5
quickly		135.0	0.5
as		135.5	0.5
possible;		136.0	0.5
they		136.5	0.5
scurried		137.0	0.5
silently		137.5	0.5
toward		138.0	0.5
the		138.5	0.5
door,		139.0	0.5
away		139.5	0.5
from		140.0	0.5
Filch's		140.5	0.5
voice.		141.0	0.5
Neville's		141.5	0.5
robes		142.0	0.5
had		142.5	0.5
barely		143.0	0.5
whipped		143.5	0.5
round		144.0	0.5
the		144.5	0.5
corner		145.0	0.5
when		145.5	0.5
they		146.0	0.5
heard		146.5	0.5
Filch		147.0	0.5
enter		147.5	0.5
the		148.0	0.5
trophy		148.5	0.5
room.		149.0	0.5
+		149.5	0.5
"""They're"		150.0	0.5
in		150.5	0.5
here		151.0	0.5
"somewhere,"""		151.5	0.5
they		152.0	0.5
heard		152.5	0.5
him		153.0	0.5
mutter,		153.5	0.5
"""probably"		154.0	0.5
"hiding."""		154.5	0.5
+		155.0	0.5
"""This"		155.5	0.5
"way!"""		156.0	0.5
Harry		156.5	0.5
mouthed		157.0	0.5
to		157.5	0.5
the		158.0	0.5
others		158.5	0.5
and,		159.0	0.5
petrified,		159.5	0.5
they		160.0	0.5
began		160.5	0.5
to		161.0	0.5
creep		161.5	0.5
down		162.0	0.5
a		162.5	0.5
long		163.0	0.5
gallery		163.5	0.5
full		164.0	0.5
of		164.5	0.5
suits		165.0	0.5
of		165.5	0.5
armor.		166.0	0.5
+		166.5	0.5
They		167.0	0.5
could		167.5	0.5
hear		168.0	0.5
Filch		168.5	0.5
getting		169.0	0.5
nearer.		169.5	0.5
Neville		170.0	0.5
suddenly		170.5	0.5
let		171.0	0.5
out		171.5	0.5
a		172.0	0.5
frightened		172.5	0.5
squeak		173.0	0.5
and		173.5	0.5
broke		174.0	0.5
into		174.5	0.5
a		175.0	0.5
run		175.5	0.5
--		176.0	0.5
he		176.5	0.5
tripped,		177.0	0.5
grabbed		177.5	0.5
Ron		178.0	0.5
around		178.5	0.5
the		179.0	0.5
waist,		179.5	0.5
and		180.0	0.5
the		180.5	0.5
pair		181.0	0.5
of		181.5	0.5
them		182.0	0.5
toppled		182.5	0.5
right		183.0	0.5
into		183.5	0.5
a		184.0	0.5
suit		184.5	0.5
of		185.0	0.5
armor.		185.5	0.5
+		186.0	0.5
The		186.5	0.5
clanging		187.0	0.5
and		187.5	0.5
crashing		188.0	0.5
were		188.5	0.5
enough		189.0	0.5
to		189.5	0.5
wake		190.0	0.5
the		190.5	0.5
whole		191.0	0.5
castle.		191.5	0.5
+		192.0	0.5
"""RUN!"""		192.5	0.5
Harry		193.0	0.5
yelled,		193.5	0.5
and		194.0	0.5
the		194.5	0.5
four		195.0	0.5
of		195.5	0.5
them		196.0	0.5
sprinted		196.5	0.5
down		197.0	0.5
the		197.5	0.5
gallery,		198.0	0.5
not		198.5	0.5
looking		199.0	0.5
back		199.5	0.5
to		200.0	0.5
see		200.5	0.5
whether		201.0	0.5
Filch		201.5	0.5
was		202.0	0.5
following		202.5	0.5
--		203.0	0.5
